ensembl_peptide_id	entrezgene_id
ENSP00000085219	933
ENSP00000261636	400
ENSP00000226730	3558
ENSP00000241261	8743
ENSP00000216373	6655
ENSP00000164133	5526
ENSP00000200557	4185
ENSP00000253339	9113
ENSP00000246747	402
ENSP00000005257	5898
ENSP00000037243	11345
ENSP00000206262	26575
ENSP00000156109	27238
ENSP00000237380	80306
ENSP00000201979	28954
ENSP00000221265	54623
ENSP00000252115	84271
ENSP00000260983	57520
ENSP00000237281	84085
ENSP00000237264	9519
ENSP00000237316	6943
ENSP00000251453	6217
ENSP00000259803	8521
ENSP00000242317	27019
ENSP00000242338	1271
ENSP00000226279	952
ENSP00000259632	11258
ENSP00000259989	83888
ENSP00000247866	4708
ENSP00000243924	5266
ENSP00000252951	3050
ENSP00000251595	3040
ENSP00000218006	2986
ENSP00000259631	10850
ENSP00000199708	3049
ENSP00000254730	60678
ENSP00000218004	55916
ENSP00000222481	1358
ENSP00000215743	4320
ENSP00000227451	23220
ENSP00000254301	3958
ENSP00000205143	10683
ENSP00000247191	9787
ENSP00000257566	6926
ENSP00000262077	9972
ENSP00000260947	580
ENSP00000247178	22863
ENSP00000216241	150356
ENSP00000229395	26127
ENSP00000248668	57622
ENSP00000247843	8089
ENSP00000255262	56923
ENSP00000212015	23411
ENSP00000259939	255488
ENSP00000245903	970
ENSP00000216807	84312
ENSP00000218197	9016
ENSP00000158762	9744
ENSP00000245908	10045
ENSP00000249016	2847
ENSP00000235180	58512
ENSP00000008938	8993
ENSP00000230036	2822
ENSP00000255008	6754
ENSP00000219334	55512
ENSP00000206474	54930
ENSP00000261368	9627
ENSP00000000412	4074
ENSP00000247977	54850
ENSP00000246802	29997
ENSP00000259470	1515
ENSP00000228682	2735
ENSP00000262188	6604
ENSP00000215909	3956
ENSP00000254810	3021
ENSP00000237530	6185
ENSP00000259727	2766
ENSP00000252945	1571
ENSP00000226444	6783
ENSP00000168216	3028
ENSP00000013125	11183
ENSP00000249042	7263
ENSP00000252102	4695
ENSP00000230771	23438
ENSP00000259951	3134
ENSP00000174618	4335
ENSP00000219789	10423
ENSP00000218099	2158
ENSP00000240316	8161
ENSP00000254801	3512
ENSP00000257177	23318
ENSP00000257408	152831
ENSP00000249071	5880
ENSP00000257904	1019
ENSP00000259075	10010
ENSP00000223208	95681
ENSP00000258962	6426
ENSP00000217182	1917
ENSP00000241256	2693
ENSP00000046794	3937
ENSP00000222399	3912
ENSP00000247970	5300
ENSP00000250615	15
ENSP00000225724	9527
ENSP00000261813	5201
ENSP00000216225	9978
ENSP00000054950	5954
ENSP00000261534	29954
ENSP00000228289	10795
ENSP00000222157	26291
ENSP00000223271	5919
ENSP00000244496	88745
ENSP00000259708	89953
ENSP00000215773	1652
ENSP00000215773	100037417
ENSP00000252136	27037
ENSP00000234827	127428
ENSP00000007516	4706
ENSP00000233156	7035
ENSP00000223364	58498
ENSP00000253382	55902
ENSP00000222812	6804
ENSP00000255681	28992
ENSP00000230419	5754
ENSP00000223073	55131
ENSP00000216277	10914
ENSP00000231887	1962
ENSP00000253039	1968
ENSP00000259324	56262
ENSP00000234310	5534
ENSP00000252050	23113
ENSP00000216727	8106
ENSP00000247020	6388
ENSP00000230361	2979
ENSP00000221665	84922
ENSP00000159060	50508
ENSP00000259895	2968
ENSP00000223428	22869
ENSP00000056233	9603
ENSP00000257181	84950
ENSP00000233078	26528
ENSP00000223321	5683
ENSP00000223324	64983
ENSP00000241014	9479
ENSP00000243457	3759
ENSP00000233607	10297
ENSP00000157812	5704
ENSP00000261740	59341
ENSP00000242480	1959
ENSP00000247207	3306
ENSP00000215885	50487
ENSP00000253108	8666
ENSP00000253099	51073
ENSP00000261172	1833
ENSP00000052754	1634
ENSP00000242248	27434
ENSP00000229379	1337
ENSP00000242577	8655
ENSP00000256458	3656
ENSP00000253807	56135
ENSP00000219473	9100
ENSP00000223369	10652
ENSP00000196489	55659
ENSP00000248598	10875
ENSP00000256682	377
ENSP00000229251	50813
ENSP00000055077	5982
ENSP00000217961	412
ENSP00000223398	7461
ENSP00000242208	3624
ENSP00000243578	80776
ENSP00000203629	3902
ENSP00000011653	920
ENSP00000244527	6568
ENSP00000177694	30009
ENSP00000253303	9104
ENSP00000219091	7755
ENSP00000244573	3024
ENSP00000222115	3036
ENSP00000229264	2784
ENSP00000223023	8976
ENSP00000225792	1655
ENSP00000007969	10233
ENSP00000223061	5118
ENSP00000223054	64598
ENSP00000222256	5864
ENSP00000223051	7036
ENSP00000252818	3727
ENSP00000229277	2026
ENSP00000160382	51412
ENSP00000231004	4015
ENSP00000250003	4654
ENSP00000252723	2056
ENSP00000224237	7431
ENSP00000218224	10084
ENSP00000247138	7355
ENSP00000200457	7205
ENSP00000260526	9411
ENSP00000260526	105378858
ENSP00000217233	57761
ENSP00000259335	23392
ENSP00000245544	79902
ENSP00000173898	7216
ENSP00000217305	5173
ENSP00000254976	6616
ENSP00000258739	11014
ENSP00000238738	23433
ENSP00000245960	994
ENSP00000245539	51081
ENSP00000254958	182
ENSP00000240488	84057
ENSP00000225430	6143
ENSP00000006275	79090
ENSP00000249373	6608
ENSP00000234170	10153
ENSP00000179259	57103
ENSP00000237837	8074
ENSP00000261254	894
ENSP00000002125	55471
ENSP00000257868	10220
ENSP00000234179	23683
ENSP00000222644	51678
ENSP00000222266	55851
ENSP00000004982	126393
ENSP00000259748	10817
ENSP00000224337	29760
ENSP00000233331	83444
ENSP00000245222	56848
ENSP00000258105	116540
ENSP00000200676	1071
ENSP00000216037	7494
ENSP00000233630	84759
ENSP00000236959	471
ENSP00000253754	8572
ENSP00000222139	2057
ENSP00000258200	55336
ENSP00000166534	8974
ENSP00000251412	27175
ENSP00000080059	51564
ENSP00000230323	7942
ENSP00000256592	7252
ENSP00000254630	55037
ENSP00000216271	83933
ENSP00000259873	28973
ENSP00000254663	51540
ENSP00000254940	51388
ENSP00000222553	10135
ENSP00000262225	10959
ENSP00000238146	57696
ENSP00000216923	55734
ENSP00000254654	80895
ENSP00000246792	6237
ENSP00000247461	821
ENSP00000258341	3915
ENSP00000216341	3002
ENSP00000250617	9459
ENSP00000216218	6767
ENSP00000217971	10857
ENSP00000225992	5539
ENSP00000007390	115939
ENSP00000081029	60488
ENSP00000249389	611
ENSP00000258711	55501
ENSP00000242104	654231
ENSP00000244426	26268
ENSP00000019103	6344
ENSP00000185206	53405
ENSP00000261024	30061
ENSP00000176195	6343
ENSP00000176183	1815
ENSP00000239938	1958
ENSP00000259808	8737
ENSP00000011619	10048
ENSP00000259216	55997
ENSP00000259216	653275
ENSP00000254235	113
ENSP00000262056	1975
